Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-12-30 14:45 (EDT),On Demand,Christine D'Ercole,10,Cycling,Low Impact,10 min Low Impact Ride,2019-12-11 19:02 (EDT),57,96,38%,79,15.66,2.60,84,,,
2019-12-31 17:29 (EDT),,,20,Cycling,,20 min 26 sec Just Ride,,73,87,37%,74,14.53,3.51,116,115.88,,
2020-01-01 17:35 (EDT),,,35,Cycling,,35 min 2 sec Just Ride,,207,99,37%,79,15.51,9.06,364,122.86,,
2020-01-02 12:03 (EDT),,,32,Cycling,,32 min 44 sec Just Ride,,175,89,36%,81,15.20,8.30,324,119.94,,
2020-01-02 17:58 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 15:38 (EDT),,,,,,,34,,,
2020-01-03 06:13 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min Rock Ride,2020-01-02 12:18 (EDT),184,102,40%,74,15.37,7.68,279,114.42,,
2020-01-04 14:40 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,34,,,
2020-01-05 19:33 (EDT),,,38,Cycling,,38 min 33 sec Just Ride,,178,77,36%,75,14.12,9.08,283,103.35,,
2020-01-06 18:48 (EDT),,,19,Cycling,,19 min 43 sec Just Ride,,113,96,38%,77,15.01,4.94,156,107.07,,
2020-01-06 19:18 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-01-07 05:25 (EDT),Live,Leanne Hainsby,20,Cycling,Theme,20 min 90s Ride,2020-01-07 05:22 (EDT),141,117,41%,77,16.37,5.45,183,120.15,,
2020-01-07 05:48 (EDT),On Demand,,15,Cycling,Scenic Ride,15 min Rhone-Alpes Scenic Ride,,67,2,31%,1,0.27,3.16,120,99.76,,
2020-01-07 19:24 (EDT),On Demand,,10,Cycling,Scenic Ride,10 min Reims Scenic Ride,,87,146,41%,88,18.53,3.09,127,,,
2020-01-08 19:05 (EDT),,,36,Cycling,,36 min 4 sec Just Ride,,246,114,43%,75,16.72,10.05,347,117.40,,
2020-01-08 19:54 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EDT),,,,,,,14,,,
2020-01-09 18:30 (EDT),On Demand,Olivia Amato,45,Cycling,Theme,45 min EDM/Electronic Dance Ride,2020-01-08 05:49 (EDT),186,123,44%,74,17.13,7.21,263,116.21,,
2020-01-09 19:38 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EDT),,,,,,,36,,,
2020-01-10 18:00 (EDT),Live,Robin Arzon,45,Cycling,Live DJ,45 min Live DJ Ride,2020-01-10 17:48 (EDT),314,116,42%,76,16.68,12.51,545,133.67,,
2020-01-11 16:40 (EDT),On Demand,Olivia Amato,20,Cycling,Low Impact,20 min Low Impact Ride,2019-12-18 07:16 (EDT),82,68,31%,83,13.50,4.50,171,117.43,,
2020-01-11 17:42 (EDT),On Demand,Aditi Shah,20,Yoga,Yoga Flow,20 min Yoga Flow,2020-01-08 18:31 (EDT),,,,,,,93,,,
2020-01-12 09:03 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-04-27 12:35 (EDT),750,139,43%,82,18.20,27.29,1010,127.86,,
2020-01-13 18:08 (EDT),On Demand,Christine D'Ercole,30,Cycling,Theme,30 min P!nk Ride,2019-11-01 11:19 (EDT),230,128,41%,81,17.21,8.60,318,124.27,,
2020-01-13 18:43 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 15:38 (EDT),,,,,,,34,,,
2020-01-14 19:36 (EDT),,,17,Cycling,,17 min 24 sec Just Ride,,88,84,34%,85,14.80,4.30,128,,,
2020-01-14 20:01 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,34,,,
2020-01-15 18:11 (EDT),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Low Impact Ride,2019-04-05 14:50 (EDT),54,60,32%,74,12.41,3.10,94,96.72,,
2020-01-15 18:28 (EDT),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,2019-04-05 14:24 (EDT),149,124,39%,87,17.33,5.78,188,116.57,,
2020-01-15 19:02 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,65,,,
2020-01-16 19:12 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EDT),,,,,,,68,,,
2020-01-16 20:30 (EDT),Live,Cody Rigsby,30,Cycling,Theme,30 min Lady Gaga Ride,2020-01-16 20:18 (EDT),294,163,47%,81,19.29,9.64,370,139.73,,
2020-01-17 17:00 (EDT),Live,Cody Rigsby,30,Cycling,Live DJ,30 min Live DJ Ride,2020-01-17 16:48 (EDT),188,104,40%,77,16.00,7.99,321,121.78,,
2020-01-18 19:46 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min Coldplay Ride,2019-11-21 12:17 (EDT),214,119,44%,74,17.20,8.59,288,118.07,,
2020-01-18 20:33 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Listening Party,2020-01-17 00:00 (EDT),131,109,42%,76,16.39,5.46,180,113.96,,
2020-01-19 09:53 (EDT),On Demand,Emma Lovewell,45,Cycling,Theme,45 min EDM/Electronic Dance Ride,2019-11-13 19:19 (EDT),340,126,45%,74,17.43,13.07,409,114.77,,
2020-01-20 18:34 (CEST),On Demand,Kristin McGee,5,Meditation,Mindfulness,5 min Breathing Meditation,2019-11-14 17:00 (CEST),,,,,,,,,,
2020-01-21 15:06 (CEST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 21:03 (CEST),,,,,,,68,,,
2020-01-22 11:16 (CEST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 15:00 (CEST),,,,,,,33,,,
2020-01-23 16:52 (CEST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 15:00 (CEST),,,,,,,34,,,
2020-01-27 16:19 (CEST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 15:00 (CEST),,,,,,,34,,,
2020-01-31 17:58 (EDT),,,26,Cycling,,26 min 2 sec Just Ride,,90,67,34%,74,13.00,5.17,131,,,
2020-02-01 12:45 (EDT),Live,Cody Rigsby,45,Cycling,Theme,45 min Pop Ride,2020-02-01 12:33 (EDT),145,0,27%,0,0,6.84,233,88.31,,
2020-02-02 09:47 (EDT),On Demand,Olivia Amato,45,Cycling,Theme,45 min Spotify Mint EDM Ride,2020-01-22 05:48 (EDT),412,153,48%,74,18.75,14.06,457,118.63,,
2020-02-02 10:34 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Listening Party,2020-01-24 00:00 (EDT),107,89,40%,68,14.53,4.84,148,103.62,,
2020-02-02 10:58 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Listening Party,2020-01-31 00:00 (EDT),170,142,49%,70,18.05,6.02,183,114.91,,
2020-02-03 08:00 (EDT),Live,Emma Lovewell,45,Cycling,Theme,45 min 90s Ride,2020-02-03 07:48 (EDT),294,109,43%,71,16.25,12.18,426,113.47,,
2020-02-04 18:10 (EDT),On Demand,Olivia Amato,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2020-01-18 14:00 (EDT),78,131,38%,90,17.56,2.92,102,121.43,,
2020-02-04 18:24 (EDT),On Demand,Olivia Amato,20,Cycling,Power Zone,20 min FTP Test Ride,2020-01-18 14:00 (EDT),243,203,52%,78,21.22,7.07,290,149.33,,
2020-02-04 18:45 (EDT),On Demand,Hannah Corbin,5,Cycling,Low Impact,5 min Cool Down Ride,2020-01-19 15:00 (EDT),19,62,35%,69,13.18,1.09,39,102.07,,
2020-02-05 12:24 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 15:38 (EDT),,,,,,,34,,,
2020-02-05 19:04 (EDT),On Demand,Olivia Amato,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-01-30 07:30 (EDT),209,119,40%,84,17.24,8.47,274,116.02,,
2020-02-05 19:42 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,34,,,
2020-02-06 18:24 (EDT),On Demand,Matt Wilpers,45,Cycling,Power Zone,45 min Power Zone Endurance Ride,2020-01-16 05:47 (EDT),345,128,42%,82,17.72,13.29,446,119.75,,
2020-02-06 19:11 (EDT),On Demand,Christine D'Ercole,20,Cycling,Theme,20 min New Wave Ride,2020-02-06 10:18 (EDT),198,165,49%,75,19.51,6.50,228,129.44,,
2020-02-06 20:03 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-02-07 17:00 (EDT),Live,Cody Rigsby,30,Cycling,Live DJ,30 min Live DJ Ride,2020-02-07 16:47 (EDT),280,156,49%,75,19.11,9.55,345,129.81,,
2020-02-07 17:32 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min BHM: Listening Party,2020-02-07 00:00 (EDT),80,66,36%,67,12.63,4.21,157,106.85,,
2020-02-07 17:58 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EDT),,,,,,,68,,,
2020-02-08 10:48 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2020-01-04 12:34 (EDT),703,130,42%,80,17.66,26.49,912,120.92,,
2020-02-08 12:45 (EDT),Live,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-02-08 12:35 (EDT),482,134,43%,82,18.10,18.10,619,123.68,,
2020-02-09 16:30 (EDT),Live,Matt Wilpers,30,Cycling,Power Zone,30 min BHM: Power Zone Ride,2020-02-09 16:20 (EDT),99,69,40%,50,10.75,4.27,144,,,
2020-02-10 19:17 (EDT),,,9,Cycling,,9 min 52 sec Just Ride,,46,78,35%,79,14.28,2.36,67,,,
2020-02-11 18:12 (EDT),On Demand,Olivia Amato,30,Cycling,Low Impact,30 min Low Impact Ride,2019-11-23 17:04 (EDT),145,81,37%,69,13.61,6.80,211,,,
2020-02-11 18:52 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,55,,,
2020-02-12 19:12 (EDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EDT),,,,,,,34,,,
2020-02-13 16:44 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EDT),,,,,,,68,,,
2020-02-13 17:04 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,46,,,
2020-02-13 17:34 (EDT),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2019-10-05 12:33 (EDT),505,140,42%,86,18.45,18.45,581,118.27,,
2020-02-14 20:11 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,9,,,
2020-02-15 16:21 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,33,,,
2020-02-18 15:55 (EDT),On Demand,Christine D'Ercole,90,Cycling,Heart Rate Zone,90 min HRZ Endurance Ride,2019-11-24 12:32 (EDT),804,149,44%,84,18.80,28.19,1056,131.39,,
2020-02-19 17:41 (EDT),,,17,Cycling,,17 min 20 sec Just Ride,,81,78,34%,80,14.13,4.11,118,,,
2020-02-19 18:38 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-02-19 18:59 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,49,,,
2020-02-21 09:08 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Listening Party,2020-02-14 00:00 (EDT),115,96,39%,77,15.83,5.27,168,,,
2020-02-22 10:24 (EDT),On Demand,Matt Wilpers,90,Cycling,Power Zone,90 min Power Zone Endurance Ride,2019-03-23 12:34 (EDT),599,111,42%,72,15.99,23.98,755,110.21,,
2020-02-22 17:38 (EDT),On Demand,Christine D'Ercole,30,Cycling,Theme,30 min P!nk Ride,2019-11-01 11:19 (EDT),206,115,47%,61,15.21,7.60,329,126.58,,
2020-02-23 12:45 (EDT),Live,Christine D'Ercole,60,Cycling,Power Zone,60 min Power Zone Endurance Ride,2020-02-23 12:33 (EDT),405,113,42%,73,16.10,16.10,504,110.76,,
2020-02-24 22:05 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,49,,,
2020-02-25 19:38 (EDT),,,21,Cycling,,21 min 26 sec Just Ride,,111,86,37%,73,14.46,5.17,161,,,
2020-02-25 20:12 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-02-27 19:13 (EDT),,,13,Cycling,,13 min 10 sec Just Ride,,75,94,39%,75,15.48,3.40,108,,,
2020-02-28 17:00 (EDT),Live,Matt Wilpers,30,Cycling,Live DJ,30 min Live DJ Ride,2020-02-28 16:47 (EDT),253,140,49%,69,17.86,8.93,288,117.35,,
2020-03-02 14:03 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EDT),,,,,,,68,,,
2020-03-03 13:38 (EDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EDT),,,,,,,68,,,
2020-03-12 16:20 (EDT),,,14,Cycling,,14 min 43 sec Just Ride,,89,101,39%,80,16.15,3.97,130,,,
2020-03-19 14:55 (EDT),On Demand,Olivia Amato,10,Cycling,Low Impact,10 min Low Impact Ride,2019-07-17 10:01 (EDT),19,31,29%,55,8.83,1.47,44,80.38,,
2020-03-20 11:13 (EDT),,,20,Cycling,,20 min 10 sec Just Ride,,57,47,32%,64,11.05,3.72,95,87.57,,
2020-03-23 13:46 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Listening Party,2020-02-28 00:00 (EDT),82,68,35%,70,13.47,4.49,127,97.00,,
2020-03-24 11:35 (EDT),On Demand,Christine D'Ercole,30,Cycling,Low Impact,30 min Low Impact Ride,2020-03-23 11:51 (EDT),139,77,36%,77,14.33,7.16,215,102.27,,
2020-03-24 12:10 (EDT),On Demand,Christine D'Ercole,20,Cycling,Theme,20 min Rock Ride,2020-03-23 10:33 (EDT),80,67,35%,71,12.98,4.32,125,97.00,,
2020-03-25 13:01 (EDT),On Demand,Denis Morton,10,Yoga,Yoga Flow,10 min Yoga Flow: Hips,2020-01-13 16:42 (EDT),,,,,,,49,,,
2020-03-25 13:31 (EDT),Live,Anna Greenberg,45,Yoga,Yoga Flow,45 min Yoga Flow,2020-03-25 13:19 (EDT),,,,,,,79,,,
2020-03-25 14:51 (EDT),On Demand,Olivia Amato,30,Cycling,Theme,30 min Kesha Ride,2020-03-12 20:18 (EDT),225,125,43%,77,17.42,8.70,334,127.64,,
